name,depth,path,has_children
CaseInsensitiveDict,3,requests.sessions.CaseInsensitiveDict.CaseInsensitiveDict,False
lower_items,3,requests.sessions.CaseInsensitiveDict.lower_items,False
copy,3,requests.sessions.CaseInsensitiveDict.copy,False
default_headers,2,requests.sessions.default_headers,False
get_auth_from_url,2,requests.sessions.get_auth_from_url,False
get_environ_proxies,2,requests.sessions.get_environ_proxies,False
get_netrc_auth,2,requests.sessions.get_netrc_auth,False
requote_uri,2,requests.sessions.requote_uri,False
resolve_proxies,2,requests.sessions.resolve_proxies,False
rewind_body,2,requests.sessions.rewind_body,False
should_bypass_proxies,2,requests.sessions.should_bypass_proxies,False
to_key_val_list,2,requests.sessions.to_key_val_list,False
status_codes,1,requests.status_codes,True
LookupDict,2,requests.status_codes.LookupDict,True
LookupDict,3,requests.status_codes.LookupDict.LookupDict,False
get,3,requests.status_codes.LookupDict.get,False
structures,1,requests.structures,True
CaseInsensitiveDict,2,requests.structures.CaseInsensitiveDict,True
CaseInsensitiveDict,3,requests.structures.CaseInsensitiveDict.CaseInsensitiveDict,False
lower_items,3,requests.structures.CaseInsensitiveDict.lower_items,False
copy,3,requests.structures.CaseInsensitiveDict.copy,False
LookupDict,2,requests.structures.LookupDict,True
LookupDict,3,requests.structures.LookupDict.LookupDict,False
get,3,requests.structures.LookupDict.get,False
utils,1,requests.utils,True
proxy_bypass_registry,2,requests.utils.proxy_bypass_registry,False
proxy_bypass,2,requests.utils.proxy_bypass,False
dict_to_sequence,2,requests.utils.dict_to_sequence,False
super_len,2,requests.utils.super_len,False
get_netrc_auth,2,requests.utils.get_netrc_auth,False
guess_filename,2,requests.utils.guess_filename,False
extract_zipped_paths,2,requests.utils.extract_zipped_paths,False
atomic_open,2,requests.utils.atomic_open,False
from_key_val_list,2,requests.utils.from_key_val_list,False
to_key_val_list,2,requests.utils.to_key_val_list,False
parse_list_header,2,requests.utils.parse_list_header,False
parse_dict_header,2,requests.utils.parse_dict_header,False
unquote_header_value,2,requests.utils.unquote_header_value,False
